,stock,Name,Sector,important
149,ESS,Essex Property Trust,Real Estate,0
150,ETN,Eaton Corporation,Industrials,0
151,ETR,Entergy,Utilities,0
152,EVRG,Evergy,Utilities,0
153,EW,Edwards Lifesciences,Health Care,0
154,EXC,Exelon,Utilities,0
155,EXPD,Expeditors,Industrials,0
156,EXPE,Expedia Group,Consumer Discretionary,0
157,EXR,Extra Space Storage,Real Estate,0
158,F,Ford,Consumer Discretionary,0
159,FANG,Diamondback Energy,Energy,0
160,FAST,Fastenal,Industrials,0
161,FBHS,Fortune Brands Home & Security,Industrials,0
162,FCX,Freeport-McMoRan,Materials,0
163,FDX,FedEx,Industrials,0
164,FE,FirstEnergy,Utilities,0
165,FFIV,F5 Networks,Information Technology,1
166,FIS,Fidelity National Information Services,Information Technology,1
167,FISV,Fiserv,Information Technology,1
168,FITB,Fifth Third Bancorp,Financials,0
169,FLT,Fleetcor,Information Technology,1
170,FMC,FMC Corporation,Materials,0
171,FRC,First Republic Bank,Financials,0
172,FRT,Federal Realty Investment Trust,Real Estate,0
173,FTNT,Fortinet,Information Technology,1
174,GD,General Dynamics,Industrials,0
175,GE,General Electric,Industrials,0
176,GILD,Gilead Sciences,Health Care,0
177,GIS,General Mills,Consumer Staples,0
178,GL,Globe Life,Financials,0
179,GLW,Corning,Information Technology,1
180,GM,General Motors,Consumer Discretionary,0
181,GNRC,Generac Holdings,Industrials,0
182,GOOG,Alphabet (Class C),Communication Services,0
183,GOOGL,Alphabet (Class A),Communication Services,0
184,GPC,Genuine Parts,Consumer Discretionary,0
185,GPN,Global Payments,Information Technology,1
186,GPS,Gap,Consumer Discretionary,0
187,GRMN,Garmin,Consumer Discretionary,0
188,GS,Goldman Sachs,Financials,0
189,GWW,W. W. Grainger,Industrials,0
190,HAL,Halliburton,Energy,0
191,HAS,Hasbro,Consumer Discretionary,0
192,HBAN,Huntington Bancshares,Financials,0
193,HBI,Hanesbrands,Consumer Discretionary,0
194,HCA,HCA Healthcare,Health Care,0
195,HD,Home Depot,Consumer Discretionary,0
196,HES,Hess Corporation,Energy,0
197,HIG,The Hartford,Financials,0
198,HII,Huntington Ingalls Industries,Industrials,0
199,HOLX,Hologic,Health Care,0
200,HON,Honeywell,Industrials,0
201,HPQ,HP,Information Technology,1
202,HRL,Hormel,Consumer Staples,0
203,HSIC,Henry Schein,Health Care,0
204,HST,Host Hotels & Resorts,Real Estate,0
205,HSY,The Hershey Company,Consumer Staples,0
206,HUM,Humana,Health Care,0
207,IBM,IBM,Information Technology,1
208,ICE,Intercontinental Exchange,Financials,0
209,IDXX,Idexx Laboratories,Health Care,0
210,IEX,IDEX Corporation,Industrials,0
211,IFF,International Flavors & Fragrances,Materials,0
212,ILMN,Illumina,Health Care,0
213,INCY,Incyte,Health Care,0
214,INTC,Intel,Information Technology,1
215,INTU,Intuit,Information Technology,1
216,IP,International Paper,Materials,0
217,IPG,Interpublic Group,Communication Services,0
218,IPGP,IPG Photonics,Information Technology,1
219,IRM,Iron Mountain,Real Estate,0
220,ISRG,Intuitive Surgical,Health Care,0
221,IT,Gartner,Information Technology,1
222,ITW,Illinois Tool Works,Industrials,0
223,IVZ,Invesco,Financials,0
